id;judges;year;quarter;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
86;54;2019;2;;;1;;;;;;;;5;;6;;
87;42;2019;2;;43;7;;3;6;3;2;;1;19;;84;13;
88;37;2019;2;;43;8;;1;3;3;2;;4;35;;99;;
89;41;2019;2;;56;4;;3;6;;2;;1;32;;104;5;
90;40;2019;2;;47;18;;2;2;4;4;;7;11;;95;7;
91;46;2019;2;12;;3;;;;1;2;1;;36;;55;2;
92;39;2019;2;15;;6;;;;;;1;5;29;;56;5;
93;38;2019;2;21;;13;;;;;1;3;1;29;;68;;
94;45;2019;2;18;;5;1;;;1;;1;3;32;;61;24;
95;43;2019;4;;61;10;;2;9;;5;;3;22;;112;;
96;56;2019;4;1;13;1;;1;6;2;1;;2;2;;29;;
97;44;2019;4;;60;6;;2;6;;2;;;33;;109;;
98;54;2019;4;2;14;5;;;2;1;;;3;7;;34;;
99;42;2019;4;;82;6;;4;5;2;1;;1;34;;135;;
100;37;2019;4;;48;4;;3;2;1;4;;;28;;90;;
101;41;2019;4;;61;18;;3;5;5;3;;2;34;;131;;
102;40;2019;4;;56;7;;1;4;1;3;;3;32;;107;;
103;46;2019;4;16;;8;;;;1;;3;6;50;;84;;
104;39;2019;4;11;;2;2;;;1;3;2;2;48;;71;;
105;38;2019;4;17;;15;;;;2;5;4;2;46;;91;;
106;45;2019;4;15;;9;1;;;;3;1;2;39;;70;;
107;43;2019;1;;38;21;;1;6;;2;;;20;;88;3;
108;56;2019;1;10;24;5;;1;;1;;1;2;4;2;50;9;
109;44;2019;1;;42;14;;4;6;2;1;;2;11;;82;11;
110;42;2019;1;;52;15;;2;7;3;2;;4;26;;111;9;
111;37;2019;1;;56;12;;2;5;1;5;;3;29;;113;1;
112;41;2019;1;;30;25;;5;3;2;2;;5;14;;86;;
113;40;2019;1;;44;14;;3;5;;1;;3;33;;103;5;
114;46;2019;1;11;;35;;;;1;3;1;4;32;;87;6;
115;39;2019;1;16;;17;;;;2;1;;4;25;;65;4;
116;38;2019;1;11;;13;;;;;2;;1;31;;58;1;
117;45;2019;1;13;;13;1;;;;4;;4;15;;50;10;
118;43;2019;3;;81;15;;6;5;5;4;;2;36;;154;4;
119;56;2019;3;6;20;1;;;2;1;1;1;1;;;33;;
120;44;2019;3;;49;12;;5;6;1;4;;4;30;;111;6;
121;54;2019;3;5;12;4;;;4;;;;1;2;;28;;
122;42;2019;3;;53;13;;;8;1;2;;4;20;;101;20;
123;37;2019;3;;52;10;;2;3;6;5;;4;37;;119;1;
124;41;2019;3;;55;4;;2;1;1;;;;21;;84;3;
125;40;2019;3;;60;5;;4;5;;2;;4;22;;102;4;
126;46;2019;3;18;;5;;;;3;1;;4;31;;62;1;
127;39;2019;3;14;;11;;;;2;2;1;5;28;1;64;3;
